iter	MultiClass
0	1.257187155
1	1.189954066
2	1.143887202
3	1.112376386
4	1.089615787
5	1.071622587
6	1.05652497
7	1.044775167
8	1.034732474
9	1.024895743
10	1.016935809
11	1.010056235
12	1.002957268
13	0.9950004031
14	0.9876029484
15	0.983377147
16	0.9777527897
17	0.971124048
18	0.9647503042
19	0.9596386661
20	0.9541440173
21	0.9474701018
22	0.9424428231
23	0.9379316937
24	0.9322361472
25	0.9277685116
26	0.9239723808
27	0.9181291068
28	0.9111770803
29	0.9066126337
30	0.9016324361
31	0.8988686072
32	0.8958215249
33	0.893776402
34	0.8898075204
35	0.8861916751
36	0.8832889903
37	0.8779713308
38	0.8740103003
39	0.8679381392
40	0.8635387063
41	0.8602478655
42	0.8531638674
43	0.8479622389
44	0.8448144582
45	0.8428963999
46	0.8385227463
47	0.836061871
48	0.8328566043
49	0.8287522386
50	0.8257230704
51	0.8230212217
52	0.8180050978
53	0.8136938645
54	0.8090123033
55	0.8050594959
56	0.8028200584
57	0.7969456374
58	0.7928408411
59	0.7903254638
60	0.7854728518
61	0.7818655549
62	0.778645401
63	0.775408049
64	0.7730940849
65	0.7707394575
66	0.7670371065
67	0.7650090527
68	0.7611101778
69	0.7588052701
70	0.7536143606
71	0.7515925753
72	0.7484234326
73	0.7445355335
74	0.7420010515
75	0.7383852919
76	0.7351311049
77	0.7323543585
78	0.728592062
79	0.7249379763
80	0.7214043105
81	0.7188759206
82	0.7152584212
83	0.7118187611
84	0.7084205107
85	0.7052484201
86	0.7027734916
87	0.6987764927
88	0.6969377408
89	0.6946113498
90	0.69056319
91	0.6887946073
92	0.6855775809
93	0.6818323008
94	0.6794672863
95	0.6758367399
96	0.6725328602
97	0.6697052744
98	0.6680713253
99	0.6653582362
100	0.6626995134
101	0.6589969319
102	0.6557264432
103	0.6535734619
104	0.650795246
105	0.6488817078
106	0.6460567786
107	0.6432166556
108	0.6412334202
109	0.6395359405
110	0.6366373914
111	0.6337189393
112	0.6310837254
113	0.6284897814
114	0.6254355157
115	0.6225177227
116	0.6205562199
117	0.6180920561
118	0.6151079597
119	0.6117449762
120	0.6087273383
121	0.6054871963
122	0.6026362806
123	0.5997333415
124	0.5981728452
125	0.5964315237
126	0.594260027
127	0.5924593854
128	0.590419657
129	0.5884513849
130	0.5860708701
131	0.5847481878
132	0.5831035805
133	0.5811862667
134	0.5784045715
135	0.575718043
136	0.5740955246
137	0.5714090187
138	0.5702320315
139	0.5689559029
140	0.5671452816
141	0.5653851562
142	0.5630196461
143	0.5620178157
144	0.559798664
145	0.5572958574
146	0.5550433013
147	0.5529956588
148	0.5509779213
149	0.5494354681
150	0.5472896708
151	0.5444049222
152	0.5426730404
153	0.5411547233
154	0.5386449772
155	0.5372923043
156	0.5352475105
157	0.5332281712
158	0.5308114244
159	0.5294628853
160	0.5276118125
161	0.5255370443
162	0.5228291657
163	0.520526681
164	0.5194976741
165	0.5174442913
166	0.5164431094
167	0.5147410931
168	0.5127188595
169	0.5111254465
170	0.5085001661
171	0.5068632111
172	0.5046762434
173	0.5024951988
174	0.500648317
175	0.4991738548
176	0.4971369132
177	0.4954202634
178	0.4923657098
179	0.4908476649
180	0.4895960259
181	0.4865134044
182	0.4844009966
183	0.4826643943
184	0.4808641835
185	0.4783906766
186	0.4767213666
187	0.4754913579
188	0.4736913654
189	0.4721343295
190	0.4702134657
191	0.4690364689
192	0.4679397526
193	0.4670510619
194	0.4654987781
195	0.4646842223
196	0.4634747528
197	0.4612644684
198	0.4599458853
199	0.459075154
