iter	Passed	Remaining
0	63	12620
1	91	9028
2	117	7732
3	143	7045
4	169	6616
5	196	6344
6	226	6251
7	253	6083
8	279	5936
9	315	5993
10	387	6662
11	482	7564
12	527	7586
13	560	7442
14	601	7420
15	637	7326
16	678	7301
17	718	7261
18	753	7177
19	784	7056
20	817	6971
21	857	6940
22	891	6860
23	927	6802
24	959	6718
25	990	6631
26	1027	6581
27	1062	6527
28	1100	6489
29	1142	6471
30	1178	6423
31	1215	6383
32	1251	6332
33	1289	6295
34	1328	6264
35	1366	6225
36	1421	6262
37	1479	6307
38	1533	6331
39	1590	6362
40	1685	6536
41	1742	6555
42	1789	6533
43	1835	6508
44	1891	6514
45	1952	6537
46	2006	6531
47	2050	6493
48	2099	6469
49	2139	6417
50	2177	6362
51	2213	6299
52	2252	6247
53	2296	6209
54	2334	6153
55	2370	6095
56	2412	6051
57	2450	5998
58	2502	5980
59	2552	5955
60	2608	5944
61	2648	5895
62	2688	5846
63	2732	5806
64	2804	5823
65	2845	5778
66	2887	5732
67	2925	5679
68	2964	5627
69	2999	5570
70	3051	5543
71	3099	5509
72	3155	5490
73	3208	5462
74	3263	5439
75	3333	5438
76	3385	5407
77	3431	5366
78	3483	5335
79	3543	5315
80	3597	5285
81	3649	5251
82	3751	5288
83	3802	5250
84	3845	5202
85	3888	5154
86	3921	5093
87	3956	5035
88	4006	4996
89	4041	4939
90	4077	4884
91	4114	4830
92	4147	4772
93	4186	4720
94	4224	4669
95	4264	4619
96	4301	4567
97	4339	4516
98	4373	4462
99	4409	4409
100	4460	4372
101	4496	4320
102	4531	4267
103	4566	4215
104	4608	4169
105	4647	4121
106	4687	4074
107	4723	4023
108	4758	3972
109	4790	3919
110	4821	3866
111	4852	3812
112	4885	3761
113	4922	3713
114	4955	3662
115	4989	3613
116	5021	3562
117	5054	3512
118	5087	3462
119	5124	3416
120	5160	3369
121	5193	3320
122	5225	3271
123	5258	3223
124	5296	3178
125	5331	3131
126	5370	3087
127	5429	3054
128	5461	3006
129	5494	2958
130	5526	2910
131	5559	2863
132	5594	2818
133	5629	2772
134	5661	2725
135	5695	2680
136	5724	2632
137	5758	2586
138	5893	2586
139	5934	2543
140	5970	2498
141	6004	2452
142	6038	2406
143	6068	2360
144	6096	2312
145	6132	2268
146	6166	2223
147	6195	2176
148	6224	2130
149	6257	2085
150	6298	2043
151	6333	2000
152	6368	1956
153	6405	1913
154	6438	1869
155	6471	1825
156	6505	1781
157	6538	1738
158	6576	1695
159	6620	1655
160	6679	1618
161	6712	1574
162	6743	1530
163	6774	1487
164	6806	1443
165	6850	1403
166	6881	1359
167	6920	1318
168	6953	1275
169	6983	1232
170	7017	1190
171	7053	1148
172	7088	1106
173	7121	1064
174	7153	1021
175	7186	979
176	7219	938
177	7251	896
178	7285	854
179	7315	812
180	7344	770
181	7378	729
182	7409	688
183	7439	646
184	7473	605
185	7522	566
186	7556	525
187	7588	484
188	7626	443
189	7681	404
190	7721	363
191	7769	323
192	7812	283
193	7857	243
194	7905	202
195	7952	162
196	7991	121
197	8026	81
198	8056	40
199	8087	0
