iter	MultiClass
0	1.370440384
1	1.352993312
2	1.342264106
3	1.326248836
4	1.31400238
5	1.302811216
6	1.290848977
7	1.283283751
8	1.271165838
9	1.269538936
10	1.257755393
11	1.245367754
12	1.235755977
13	1.224927538
14	1.216037659
15	1.204350328
16	1.193924084
17	1.18780635
18	1.17978053
19	1.167267832
20	1.157258816
21	1.147689288
22	1.138580122
23	1.131254622
24	1.125187888
25	1.117905
26	1.111855338
27	1.105873613
28	1.099619252
29	1.09112617
30	1.086398873
31	1.081125405
32	1.072533434
33	1.064942392
34	1.058786198
35	1.058738692
36	1.054913635
37	1.050158485
38	1.043953636
39	1.040661884
40	1.036150626
41	1.029948916
42	1.021779413
43	1.016672704
44	1.011186996
45	1.006527741
46	1.002081389
47	0.9964467653
48	0.9935877218
49	0.9881780244
50	0.9843818515
51	0.979747386
52	0.9733803372
53	0.9667366529
54	0.9598379165
55	0.9564402841
56	0.952613943
57	0.9481346145
58	0.9429604802
59	0.9379079957
60	0.9324121592
61	0.9277154885
62	0.9240346995
63	0.9207920284
64	0.9184577269
65	0.9150334764
66	0.9124582742
67	0.9089610065
68	0.9047973187
69	0.9020734662
70	0.8973957275
71	0.8942845388
72	0.8908222463
73	0.8876858502
74	0.8837380722
75	0.8798981882
76	0.8765099822
77	0.8739138053
78	0.8712808355
79	0.8685030294
80	0.8661787271
81	0.8616539025
82	0.8593291066
83	0.8548239769
84	0.8525895863
85	0.8503623675
86	0.847546696
87	0.8440349816
88	0.8417376911
89	0.8393318688
90	0.8371799562
91	0.8343226936
92	0.8327258174
93	0.8303330482
94	0.8275529924
95	0.8250837999
96	0.8210564948
97	0.8192291555
98	0.816786254
99	0.8134699033
100	0.8118475705
101	0.8094627862
102	0.8069464643
103	0.8040547801
104	0.8016579082
105	0.7984283245
106	0.7962986926
107	0.7951208785
108	0.7933306222
109	0.791272367
110	0.7878465711
111	0.7866558003
112	0.7844915637
113	0.7826290984
114	0.7796255199
115	0.7774664161
116	0.7753604549
117	0.7734446056
118	0.7717860806
119	0.7688373636
120	0.7664611273
121	0.7646262612
122	0.7626708562
123	0.7606210429
124	0.7587531033
125	0.756986426
126	0.7545622881
127	0.7531023544
128	0.750531631
129	0.7488224334
130	0.7477776404
131	0.7455502348
132	0.7426251543
133	0.7402129096
134	0.7388524701
135	0.7368148354
136	0.735210572
137	0.7330772824
138	0.7315354106
139	0.7295596511
140	0.7283830116
141	0.7263108808
142	0.7242898688
143	0.72284242
144	0.7201215426
145	0.7185413131
146	0.7167290142
147	0.7152589836
148	0.7140148668
149	0.7127706436
150	0.7111834597
151	0.7098246139
152	0.7088195321
153	0.7076103696
154	0.7065964166
155	0.7053556642
156	0.7038350612
157	0.7026416996
158	0.7009402139
159	0.6996446054
160	0.6986480031
161	0.6973216057
162	0.6960702162
163	0.6937643253
164	0.691921365
165	0.6912427863
166	0.6901428209
167	0.6888951538
168	0.687370877
169	0.6856811322
170	0.6834266015
171	0.6821659098
172	0.6809155884
173	0.67948629
174	0.6782525746
175	0.6765724357
176	0.6757084343
177	0.6745166751
178	0.6726733954
179	0.6713702239
180	0.6705596621
181	0.6690129987
182	0.6680709064
183	0.6670851115
184	0.6659965692
185	0.6646652515
186	0.6632760379
187	0.6626994738
188	0.6615776939
189	0.6608867573
190	0.6592420453
191	0.6575567816
192	0.6565641424
193	0.6555667398
194	0.6542312754
195	0.6534034102
196	0.6519864068
197	0.6503566312
198	0.6493142116
199	0.6481384281
