iter	Passed	Remaining
0	77	15481
1	104	10339
2	129	8533
3	197	9693
4	311	12147
5	335	10862
6	361	9953
7	388	9320
8	415	8809
9	418	7957
10	443	7613
11	469	7354
12	496	7139
13	521	6931
14	547	6757
15	577	6644
16	601	6477
17	629	6361
18	655	6247
19	682	6138
20	705	6013
21	730	5912
22	755	5816
23	782	5740
24	808	5659
25	832	5572
26	858	5498
27	885	5440
28	913	5386
29	940	5330
30	966	5270
31	993	5213
32	1018	5156
33	1044	5100
34	1068	5038
35	1071	4881
36	1097	4834
37	1122	4787
38	1147	4735
39	1171	4684
40	1196	4639
41	1222	4597
42	1248	4559
43	1274	4518
44	1300	4479
45	1324	4435
46	1349	4393
47	1378	4366
48	1406	4333
49	1432	4298
50	1459	4265
51	1486	4229
52	1511	4191
53	1538	4159
54	1566	4129
55	1591	4092
56	1616	4056
57	1644	4025
58	1672	3996
59	1696	3957
60	1721	3922
61	1745	3885
62	1774	3858
63	1798	3821
64	1823	3787
65	1849	3755
66	1876	3725
67	1903	3694
68	1932	3668
69	1958	3636
70	1984	3605
71	2009	3572
72	2035	3540
73	2061	3509
74	2087	3479
75	2114	3449
76	2138	3416
77	2165	3387
78	2191	3357
79	2219	3328
80	2245	3299
81	2275	3274
82	2302	3245
83	2335	3224
84	2361	3194
85	2390	3168
86	2420	3144
87	2448	3115
88	2476	3088
89	2506	3063
90	2533	3034
91	2560	3005
92	2587	2976
93	2616	2950
94	2645	2923
95	2673	2896
96	2701	2868
97	2729	2841
98	2760	2816
99	2790	2790
100	2819	2763
101	2850	2738
102	2878	2711
103	2908	2684
104	2938	2658
105	2969	2633
106	3001	2608
107	3036	2586
108	3063	2557
109	3091	2529
110	3130	2509
111	3163	2485
112	3193	2458
113	3224	2432
114	3257	2408
115	3287	2380
116	3318	2354
117	3347	2326
118	3375	2297
119	3404	2269
120	3440	2246
121	3468	2217
122	3498	2190
123	3532	2164
124	3562	2137
125	3591	2109
126	3621	2081
127	3649	2052
128	3679	2025
129	3711	1998
130	3740	1970
131	3771	1942
132	3803	1916
133	3834	1888
134	3863	1860
135	3890	1830
136	3918	1802
137	3948	1774
138	3979	1746
139	4009	1718
140	4037	1689
141	4063	1659
142	4092	1631
143	4119	1602
144	4148	1573
145	4177	1545
146	4205	1516
147	4234	1487
148	4260	1458
149	4289	1429
150	4320	1401
151	4347	1373
152	4377	1344
153	4409	1317
154	4437	1288
155	4469	1260
156	4502	1233
157	4531	1204
158	4558	1175
159	4588	1147
160	4616	1118
161	4644	1089
162	4671	1060
163	4699	1031
164	4728	1002
165	4757	974
166	4783	945
167	4812	916
168	4841	888
169	4869	859
170	4898	830
171	4924	801
172	4955	773
173	4983	744
174	5009	715
175	5038	687
176	5066	658
177	5094	629
178	5123	601
179	5151	572
180	5178	543
181	5205	514
182	5235	486
183	5260	457
184	5287	428
185	5313	399
186	5340	371
187	5366	342
188	5390	313
189	5415	285
190	5441	256
191	5465	227
192	5493	199
193	5519	170
194	5545	142
195	5570	113
196	5595	85
197	5623	56
198	5651	28
199	5680	0
